ite 701, loss is 11.120832443237305
ite 702, loss is 10.707321166992188
ite 703, loss is 11.017300605773926
ite 704, loss is 10.581445693969727
ite 705, loss is 10.783382415771484
ite 706, loss is 10.382057189941406
ite 707, loss is 10.627887725830078
ite 708, loss is 10.377079010009766
ite 709, loss is 10.408942222595215
ite 710, loss is 10.25385856628418
ite 711, loss is 10.38935375213623
ite 712, loss is 10.136978149414062
ite 713, loss is 10.235067367553711
ite 714, loss is 10.09706974029541
ite 715, loss is 10.119221687316895
ite 716, loss is 9.990129470825195
ite 717, loss is 10.062108039855957
ite 718, loss is 9.940898895263672
ite 719, loss is 9.982012748718262
ite 720, loss is 9.888833999633789
ite 721, loss is 9.922701835632324
ite 722, loss is 9.860210418701172
ite 723, loss is 9.863523483276367
ite 724, loss is 9.829785346984863
ite 725, loss is 9.853723526000977
ite 726, loss is 9.846261978149414
ite 727, loss is 9.900626182556152
ite 728, loss is 10.019700050354004
ite 729, loss is 10.286035537719727
ite 730, loss is 10.558954238891602
ite 731, loss is 10.782684326171875
ite 732, loss is 10.448885917663574
ite 733, loss is 9.873534202575684
ite 734, loss is 9.684155464172363
ite 735, loss is 10.053284645080566
ite 736, loss is 10.09762191772461
ite 737, loss is 9.760455131530762
ite 738, loss is 9.590513229370117
ite 739, loss is 9.808019638061523
ite 740, loss is 9.770844459533691
ite 741, loss is 9.547750473022461
ite 742, loss is 9.589393615722656
ite 743, loss is 9.687639236450195
ite 744, loss is 9.50136947631836
ite 745, loss is 9.449650764465332
ite 746, loss is 9.602940559387207
ite 747, loss is 9.547019004821777
ite 748, loss is 9.424915313720703
ite 749, loss is 9.479522705078125
ite 750, loss is 9.596824645996094
ite 751, loss is 9.584282875061035
ite 752, loss is 9.620890617370605
ite 753, loss is 9.75126838684082
ite 754, loss is 9.836041450500488
ite 755, loss is 9.764816284179688
ite 756, loss is 9.750649452209473
ite 757, loss is 9.648807525634766
ite 758, loss is 9.449799537658691
ite 759, loss is 9.200323104858398
ite 760, loss is 9.1435546875
ite 761, loss is 9.277116775512695
ite 762, loss is 9.37356948852539
ite 763, loss is 9.372425079345703
ite 764, loss is 9.261503219604492
ite 765, loss is 9.1856050491333
ite 766, loss is 9.10450553894043
ite 767, loss is 9.056905746459961
ite 768, loss is 9.072579383850098
ite 769, loss is 9.127886772155762
ite 770, loss is 9.15629768371582
ite 771, loss is 9.099242210388184
ite 772, loss is 9.011850357055664
ite 773, loss is 8.93917465209961
ite 774, loss is 8.922751426696777
ite 775, loss is 8.946832656860352
ite 776, loss is 8.9601411819458
ite 777, loss is 8.962632179260254
ite 778, loss is 8.9536714553833
ite 779, loss is 8.964999198913574
ite 780, loss is 9.004638671875
ite 781, loss is 9.07107925415039
ite 782, loss is 9.148015975952148
ite 783, loss is 9.25245189666748
ite 784, loss is 9.379719734191895
ite 785, loss is 9.645526885986328
ite 786, loss is 10.16193962097168
ite 787, loss is 11.348923683166504
ite 788, loss is 13.468605041503906
ite 789, loss is 14.8399076461792
ite 790, loss is 14.065244674682617
ite 791, loss is 13.100776672363281
ite 792, loss is 15.102611541748047
ite 793, loss is 12.327136993408203
ite 794, loss is 10.086915969848633
ite 795, loss is 11.523174285888672
ite 796, loss is 10.484626770019531
ite 797, loss is 10.92345142364502
ite 798, loss is 10.637598037719727
ite 799, loss is 10.127543449401855
ite 800, loss is 10.407482147216797
ite 801, loss is 9.915252685546875
ite 802, loss is 9.873160362243652
